Aika[s]	Askeleet	Voimamittaus[V/V]	Siirtymä[mm]	Sellipaine-mitattu[kPa]	Huokosvedenpaine[kPa]	Vaaka[g]	Voimamittaus[kg]	Nousunopeus[mm/min]	Kompensoitu siirtymä[mm]	Suhteellinen kokoonpuristuma[%]	Suhteellinen tilavuuden muutos[%]	Maksimileikkausjännitys[kPa]
580507,175809	60219,000000	-0,000946	19,409321	90,853441	5,740174	15,750000	48,139094	0,002000	19,345958	17,624085	0,076111	11,217011
580517,976816	60221,000000	-0,000947	19,409768	90,900157	5,785341	15,750000	48,207488	0,002000	19,346597	17,624667	0,076111	11,232893
580528,476293	60222,000000	-0,000947	19,410113	90,894380	5,773730	15,750000	48,208030	0,002000	19,346918	17,624960	0,076111	11,232977
580538,775967	60223,000000	-0,000947	19,410571	90,887986	5,765263	15,750000	48,177147	0,002000	19,347241	17,625254	0,076111	11,225724
580549,176383	60224,000000	-0,000948	19,411303	90,860025	5,797063	15,750000	48,254187	0,002000	19,347558	17,625543	0,076111	11,243586
580559,475876	60225,000000	-0,000947	19,410749	90,870928	5,743136	15,750000	48,197572	0,002000	19,347883	17,625838	0,076111	11,230462
580569,775919	60226,000000	-0,000948	19,411855	90,900581	5,798707	15,750000	48,217466	0,002000	19,348203	17,626130	0,076111	11,234962
580580,476129	60227,000000	-0,000946	19,411963	90,869270	5,805642	15,750000	48,159332	0,002000	19,348527	17,626425	0,076111	11,221403
580590,776478	60228,000000	-0,000948	19,412074	90,877149	5,807294	15,750000	48,239689	0,002000	19,348844	17,626714	0,076111	11,240113
580601,176017	60229,000000	-0,000947	19,412399	90,838149	5,814691	15,750000	48,176461	0,002000	19,349169	17,627010	0,076111	11,225341
580611,476506	60230,000000	-0,000947	19,413526	90,917741	5,812158	15,750000	48,205393	0,002000	19,349489	17,627301	0,076111	11,231944
580621,975873	60231,000000	-0,000946	19,413561	90,872387	5,804704	15,750000	48,143755	0,002000	19,349813	17,627597	0,076111	11,217578
580632,575833	60232,000000	-0,000948	19,413332	90,887144	5,765853	15,750000	48,224423	0,002000	19,350130	17,627886	0,076111	11,236402
580642,976017	60234,000000	-0,000946	19,413635	90,880281	5,831731	15,750000	48,163103	0,002000	19,350776	17,628474	0,076111	11,222077
580653,575915	60235,000000	-0,000947	19,414646	90,874451	5,788586	15,750000	48,193062	0,002000	19,351096	17,628765	0,076111	11,228934
580663,775983	60236,000000	-0,000948	19,414802	90,885373	5,783164	15,750000	48,257004	0,002000	19,351414	17,629055	0,076111	11,243813
580674,376020	60237,000000	-0,000947	19,414943	90,898524	5,820815	15,750000	48,206319	0,002000	19,351738	17,629350	0,076111	11,231986
580684,576090	60238,000000	-0,000948	19,415188	90,894644	5,776646	15,750000	48,227315	0,002000	19,352058	17,629642	0,076111	11,236848
580695,076323	60239,000000	-0,000947	19,415212	90,886046	5,782954	15,750000	48,176192	0,002000	19,352382	17,629937	0,076111	11,224934
580705,476317	60240,000000	-0,000948	19,415959	90,883933	5,823085	15,750000	48,250695	0,002000	19,352699	17,630226	0,076111	11,242201
580716,176410	60241,000000	-0,000947	19,415967	90,897735	5,804969	15,760000	48,193772	0,002000	19,353024	17,630522	0,076159	11,229516
580726,775952	60242,000000	-0,000947	19,416334	90,907815	5,792542	15,760000	48,216054	0,002000	19,353344	17,630813	0,076159	11,234663
580737,376523	60243,000000	-0,000946	19,416030	90,905613	5,807264	15,760000	48,155010	0,002000	19,353668	17,631109	0,076159	11,220477
580748,176280	60244,000000	-0,000948	19,417028	90,878528	5,801252	15,760000	48,230829	0,002000	19,353986	17,631398	0,076159	11,238021
580758,875805	60246,000000	-0,000947	19,417462	90,863679	5,792138	15,760000	48,179597	0,002000	19,354631	17,631986	0,076159	11,226030
580769,776398	60247,000000	-0,000947	19,417204	90,902843	5,799495	15,760000	48,193489	0,002000	19,354951	17,632278	0,076159	11,229299
580780,276276	60248,000000	-0,000948	19,417632	90,861670	5,780055	15,760000	48,262423	0,002000	19,355269	17,632567	0,076159	11,245308
580790,776653	60249,000000	-0,000947	19,418666	90,864208	5,825876	15,760000	48,206238	0,002000	19,355593	17,632863	0,076159	11,232090
580801,276663	60250,000000	-0,000948	19,418428	90,867036	5,793708	15,760000	48,238102	0,002000	19,355913	17,633154	0,076159	11,239544
580811,676324	60251,000000	-0,000947	19,418694	90,835013	5,797144	15,760000	48,180018	0,002000	19,356237	17,633449	0,076159	11,225977
580821,876636	60252,000000	-0,000948	19,419411	90,881854	5,797321	15,760000	48,244852	0,002000	19,356555	17,633739	0,076159	11,240996
580832,375855	60253,000000	-0,000947	19,419117	90,880951	5,814428	15,760000	48,184700	0,002000	19,356880	17,634034	0,076159	11,227017
580842,775876	60254,000000	-0,000947	19,420218	90,842422	5,831171	15,760000	48,214771	0,002000	19,357199	17,634326	0,076159	11,233888
580853,476613	60255,000000	-0,000946	19,419991	90,844300	5,776096	15,760000	48,153845	0,002000	19,357524	17,634621	0,076159	11,219720
580863,776669	60256,000000	-0,000948	19,420846	90,886685	5,811660	15,760000	48,227254	0,002000	19,357841	17,634911	0,076159	11,236720
580874,176650	60257,000000	-0,000946	19,420845	90,877442	5,802913	15,770000	48,165674	0,002000	19,358166	17,635206	0,076207	11,222951
580884,375824	60259,000000	-0,000947	19,422555	90,867262	5,823475	15,760000	48,182934	0,002000	19,358808	17,635791	0,076159	11,226184
580894,776741	60260,000000	-0,000948	19,422219	90,819741	5,811508	15,760000	48,254149	0,002000	19,359125	17,636080	0,076159	11,242818
580905,176162	60261,000000	-0,000947	19,421799	90,865697	5,818187	15,770000	48,205782	0,002000	19,359449	17,636375	0,076207	11,232179
580915,876897	60262,000000	-0,000948	19,422217	90,897930	5,823161	15,770000	48,222353	0,002000	19,359769	17,636667	0,076207	11,235989
580926,076276	60263,000000	-0,000947	19,422657	90,896923	5,829406	15,770000	48,171726	0,002000	19,360093	17,636962	0,076207	11,224139
580936,676477	60264,000000	-0,000948	19,423400	90,903214	5,823005	15,770000	48,244783	0,002000	19,360411	17,637251	0,076207	11,241070
580946,976466	60265,000000	-0,000947	19,423288	90,874694	5,814366	15,770000	48,189279	0,002000	19,360735	17,637547	0,076207	11,228151
580957,476501	60266,000000	-0,000948	19,423702	90,894190	5,805134	15,770000	48,225323	0,002000	19,361055	17,637838	0,076207	11,236499
580967,775879	60267,000000	-0,000946	19,424117	90,888117	5,808066	15,770000	48,165991	0,002000	19,361379	17,638133	0,076207	11,222624
580978,276355	60268,000000	-0,000948	19,424431	90,877433	5,798425	15,770000	48,231299	0,002000	19,361697	17,638423	0,076207	11,237802
580988,776056	60269,000000	-0,000947	19,424096	90,890162	5,807661	15,770000	48,172790	0,002000	19,362021	17,638718	0,076207	11,224211
580999,476688	60270,000000	-0,000947	19,425048	90,867134	5,851318	15,770000	48,195499	0,002000	19,362341	17,639010	0,076207	11,229385
581010,076587	60272,000000	-0,000948	19,424836	90,852457	5,828489	15,770000	48,252455	0,002000	19,362981	17,639593	0,076207	11,242682
581020,076425	60273,000000	-0,000948	19,425008	90,881931	5,818083	15,770000	48,218814	0,002000	19,363304	17,639887	0,076207	11,234822
581030,676367	60274,000000	-0,000948	19,425944	90,840204	5,861189	15,770000	48,229993	0,002000	19,363625	17,640179	0,076207	11,237312
581041,076650	60275,000000	-0,000947	19,425975	90,845630	5,822978	15,770000	48,178773	0,002000	19,363949	17,640474	0,076207	11,225374
581051,676836	60276,000000	-0,000948	19,426521	90,888633	5,836145	15,770000	48,262971	0,002000	19,364266	17,640763	0,076207	11,244925
581062,276093	60277,000000	-0,000947	19,426889	90,860843	5,805196	15,770000	48,202846	0,002000	19,364590	17,641059	0,076207	11,230871
581072,676350	60278,000000	-0,000948	19,427360	90,884361	5,840683	15,770000	48,222962	0,002000	19,364910	17,641350	0,076207	11,235500
581082,976236	60279,000000	-0,000946	19,427163	90,871252	5,827846	15,770000	48,165662	0,002000	19,365234	17,641646	0,076207	11,222174
581093,376651	60280,000000	-0,000948	19,427897	90,864021	5,823611	15,770000	48,239601	0,002000	19,365552	17,641935	0,076207	11,239311
581103,775849	60281,000000	-0,000947	19,427962	90,854415	5,810310	15,770000	48,184782	0,002000	19,365876	17,642230	0,076207	11,226531
581114,276779	60282,000000	-0,000948	19,427985	90,872602	5,809602	15,770000	48,221381	0,002000	19,366196	17,642521	0,076207	11,235055
581124,676793	60283,000000	-0,000946	19,428427	90,843087	5,834886	15,770000	48,159938	0,002000	19,366520	17,642817	0,076207	11,220686
581135,276538	60285,000000	-0,000948	19,428962	90,865691	5,807198	15,770000	48,227181	0,002000	19,367159	17,643399	0,076207	11,236287
581145,876788	60286,000000	-0,000948	19,429906	90,830976	5,785236	15,770000	48,246991	0,002000	19,367479	17,643691	0,076207	11,240786
581156,675884	60287,000000	-0,000947	19,429549	90,878081	5,803164	15,770000	48,197127	0,002000	19,367803	17,643986	0,076207	11,229213
581167,175826	60288,000000	-0,000948	19,429922	90,904852	5,821925	15,770000	48,264685	0,002000	19,368121	17,644275	0,076207	11,244907
581177,276076	60289,000000	-0,000947	19,430073	90,890289	5,823141	15,770000	48,213737	0,002000	19,368445	17,644570	0,076207	11,233018
581187,875962	60290,000000	-0,000948	19,430814	90,869976	5,842047	15,780000	48,235330	0,002000	19,368765	17,644862	0,076256	11,238538
581198,476775	60291,000000	-0,000947	19,431064	90,871565	5,840463	15,780000	48,175900	0,002000	19,369090	17,645158	0,076256	11,224660
581208,975846	60292,000000	-0,000948	19,431639	90,863158	5,836201	15,780000	48,254296	0,002000	19,369407	17,645447	0,076256	11,242856
581219,375805	60293,000000	-0,000947	19,431282	90,890083	5,841811	15,780000	48,193010	0,002000	19,369731	17,645742	0,076256	11,228620
