Aika_s_	SuhteellinenKokoonpuristuma___	Maksimileikkausj_nnitys_kPa_	Huokosvedenpaine_kPa_	Sellipaine_mitattu_kPa_	SuhteellinenTilavuudenMuutos___	Voimamittaus_kg_	Siirtym__mm_	Vaaka_g_	Var1
2380.49995	0.072872	0.06371	2.589971	90.945289	0	0.244167	0.062211	0	5
4770.500617	0.14539	0.477455	2.92244	90.941313	0	1.831146	0.141599	0	5
7160.500077	0.217901	0.930101	4.097102	90.958128	0	3.569762	0.223304	0	5
9550.600789	0.290444	1.199344	4.922036	90.929012	0	4.60641	0.302628	0	5
11940.600387	0.363002	1.385829	5.47263	90.9328	0	5.32637	0.380114	0	5
14330.600231	0.435566	1.532147	5.845003	90.960518	0	5.893091	0.462204	0	5
16720.600273	0.508136	1.647269	6.101602	90.968005	0	6.340426	0.541782	0	5
19110.700858	0.580707	1.754907	6.190331	90.950778	0	6.75976	0.624332	0	5
21500.700772	0.65328	1.853179	6.294064	90.992198	0	7.143555	0.705949	0	5
23890.700162	0.725854	1.945655	6.334562	90.98239	0	7.505339	0.784332	0	5
26280.700481	0.79843	2.026163	6.435745	90.934362	0	7.821615	0.865248	0	5
28670.800001	0.871006	2.108558	6.502315	90.973283	0	8.14571	0.947085	0	5
31060.800369	0.943582	2.188329	6.582368	90.958951	0	8.460009	1.027188	0	5
33450.80053	1.016158	2.263325	6.669169	90.95735	0	8.756184	1.105917	0	5
35840.800348	1.088735	2.338672	6.761061	90.957775	0	9.054384	1.187666	0	5
38230.900497	1.161313	2.407142	6.795657	90.972787	0	9.326319	1.26861	0	5
40620.899883	1.233891	2.477517	6.777055	90.992331	0	9.6061	1.350272	0	5
43010.900396	1.306469	2.546158	6.863431	90.920695	0	9.879333	1.429338	0	5
45400.900867	1.379047	2.611357	6.863011	90.958951	0	10.139854	1.51116	0	5
47791.000158	1.451332	2.679659	6.935068	90.957669	0	10.412576	1.590447	0	5
50181.000625	1.523911	2.744512	6.935315	90.955442	0	10.672559	1.672586	0	5
52570.999877	1.596489	2.80901	6.991459	90.926911	0	10.931289	1.752086	0	5
54961.000301	1.669068	2.872685	7.053691	90.948525	0	11.187401	1.833676	0	5
57351.100144	1.741647	2.935975	7.063894	90.941985	0	11.442268	1.914084	0	5
59741.100333	1.814226	2.99285	7.099058	90.965556	0	11.67251	1.994641	0	5
62131.100804	1.886805	3.056853	7.144851	90.945937	0	11.930793	2.074109	0	5
64521.100139	1.959385	3.111903	7.187954	90.97851	0	12.154758	2.156049	0	5
66911.200461	2.031965	3.170822	7.259287	90.912332	0	12.393608	2.232946	0	5
69301.200351	2.104544	3.230048	7.327602	90.940368	0	12.634539	2.314506	0	5
71691.20086	2.177124	3.283896	7.396364	90.953125	0	12.854362	2.392568	0	5
74081.200061	2.249705	3.334761	7.465187	90.903724	0	13.063112	2.473078	0	5
76471.300767	2.322285	3.391675	7.526061	90.962521	0	13.296206	2.556258	0	5
78861.300677	2.394864	3.451505	7.59006	90.903449	0	13.540716	2.636359	0	5
81251.29988	2.467446	3.495293	7.620273	90.922535	0	13.722464	2.715319	0	5
83641.30035	2.540026	3.547966	7.65058	90.951368	0	13.939541	2.795534	0	5
86031.399901	2.612607	3.600856	7.683037	90.950739	0	14.157429	2.872952	0	5
88421.400697	2.685188	3.648457	7.693136	90.927119	0	14.355415	2.954879	0	5
90811.40008	2.757479	3.68376	7.694901	90.972098	0	14.504716	3.032621	0	5
93201.400053	2.830059	3.73962	7.729028	90.97289	0	14.73583	3.114766	0	5
95591.499916	2.902639	3.794161	7.685116	90.942027	0	14.961765	3.194503	0	5
97981.500711	2.975221	3.836763	7.739414	90.965674	0	15.140984	3.274728	0	5
100371.500153	3.047801	3.892475	7.718953	90.956111	0	15.372263	3.355083	0	5
102761.500323	3.120381	3.944067	7.680987	90.992684	0	15.587742	3.436406	0	5
105151.600635	3.192964	3.983556	7.632523	91.012559	0	15.755613	3.517281	0	5
107541.600486	3.265543	4.041387	7.575355	90.977222	0	15.996299	3.597931	0	5
109931.600633	3.338123	4.095486	7.497802	90.963642	0	16.222249	3.676464	0	5
112321.599998	3.410704	4.145708	7.472793	91.000459	0	16.433697	3.758526	0	5
114711.700164	3.483283	4.204788	7.415564	90.993156	0	16.68003	3.836849	0	5
117101.700579	3.555863	4.260843	7.408902	90.992282	0	16.915291	3.918846	0	5
119491.700677	3.628443	4.313871	7.422278	90.969591	0	17.138359	3.997553	0	5
121881.69998	3.701024	4.359186	7.399512	90.952797	0	17.331251	4.077266	0	5
124271.800631	3.773604	4.415398	7.402425	90.954997	0	17.567661	4.156189	0	5
126661.800381	3.846185	4.465467	7.336606	90.950856	0	17.780633	4.239179	0	5
129051.800189	3.918766	4.513029	7.37124	90.963975	0	17.983149	4.317437	0	5
131441.800076	3.991347	4.56078	7.332923	90.963621	0	18.186879	4.396643	0	5
133831.900895	4.063927	4.613267	7.437972	90.973662	0	18.409674	4.47507	0	5
136221.900284	4.136509	4.655016	7.431073	90.979093	0	18.590375	4.556137	0	5
138611.899949	4.208796	4.710976	7.471633	90.946065	0	18.82781	4.63528	0	5
141001.900865	4.281376	4.760577	7.469987	90.936648	0	19.040327	4.71534	0	5
143392.000716	4.353958	4.803844	7.394135	90.959735	0	19.227848	4.795618	0	5
145782.000185	4.426539	4.85514	7.428519	90.974095	0	19.447649	4.874984	0	5
148172.000687	4.49912	4.902553	7.472627	90.972807	0	19.651921	4.952771	0	5
150562.000472	4.571702	4.939757	7.450319	90.93122	0	19.816316	5.034732	0	5
152952.100093	4.644283	4.989944	7.453255	90.920218	0.000387	20.024751	5.112924	0.08	5
155342.100676	4.716865	5.035921	7.490388	90.910996	0.001015	20.211342	5.189643	0.21	5
157732.100385	4.789447	5.082435	7.532767	90.935992	0.001546	20.402528	5.268732	0.32	5
160122.100345	4.862029	5.12438	7.582218	90.875503	0.002078	20.575588	5.348468	0.43	5
162512.200112	4.934611	5.168726	7.695231	90.923129	0.002706	20.756328	5.427889	0.56	5
164902.199904	5.007193	5.213875	7.647035	90.911681	0.003238	20.942109	5.506123	0.67	5
167292.200381	5.079776	5.251485	7.645193	90.892824	0.003721	21.098537	5.583566	0.77	5
169682.200117	5.152357	5.304487	7.665243	90.914712	0.004301	21.315416	5.663723	0.89	5
172072.200613	5.224938	5.353172	7.629036	90.933042	0.004881	21.51457	5.741645	1.01	5
